Location,Land_use_zoning,Builder_Type,Finish_Build,Builder_Pings,Total_Price
830,H,F,1040321,38,5070000
830,H,F,1040321,38,5400000
830,H,F,1040321,38,5630000
830,H,F,1030810,45,6110000
813,H,F,970410,44,7300000
811,H,F,1030502,47,6890000
813,H,F,880920,52,7500000
813,H,F,820703,39,4900000
811,H,F,950816,25,3300000
811,H,F,840809,36,3720000
811,H,F,1040529,47,7850000
811,H,F,1040529,31,5380000
811,H,F,1040529,47,7780000
811,H,F,1040529,31,5300000
813,B,F,890503,38,5480000
811,B,F,1040407,37,5330000
811,H,F,1040709,29,5860000
811,H,F,1040709,25,4840000
813,H,F,1040529,48,14700000
813,H,F,1040529,48,13300000
813,H,F,851012,11,1400000
811,H,F,1030626,24,3500000
811,H,F,1030626,42,5650000
811,H,F,1030626,24,3560000
807,H,F,820116,40,4600000
807,B,F,850625,23,3250000
807,H,F,921226,57,8900000
807,H,F,860709,53,9500000
806,H,F,830809,42,5500000
806,B,F,861105,50,9500000
802,B,F,851003,17,2700000
802,H,F,840626,57,12800000
804,H,F,1030212,68,18500000
804,H,F,840707,64,7500000
804,B,F,950126,23,5550000
804,B,F,940921,44,9550000
804,H,F,1040409,29,9600000
804,H,F,1040409,39,11800000
804,H,F,1040409,33,9600000
804,H,F,1020129,90,22010000
804,B,F,1030613,53,16560000
804,B,F,950126,36,6360000
804,H,F,940118,26,5150000
804,H,F,1040611,93,20450000
804,H,F,1040611,79,19100000
804,H,F,1040611,76,17400000
804,H,F,1040611,94,22160000
804,H,F,1040611,94,22100000
804,H,F,1040611,85,19250000
804,B,F,931025,35,7800000
804,B,F,1031210,59,13980000
804,H,F,911030,60,10200000
803,B,F,1040323,54,12650000
804,H,F,1030515,53,12280000
804,B,F,951030,41,8000000
802,B,F,710430,37,10000000
802,B,F,921105,53,11200000
802,B,F,960515,55,13300000
806,H,F,860527,58,8700000
806,H,F,1040504,54,8700000
806,B,F,950314,42,11000000
807,H,F,860709,28,4480000
807,H,F,880728,12,1410000
807,B,F,780519,43,4450000
807,B,F,860705,56,7360000
807,H,F,1010605,29,5150000
813,H,F,1031203,61,13000000
813,H,F,930519,25,4580000
813,H,F,870819,38,8500000
813,H,F,941114,38,8500000
813,B,F,941012,41,7050000
813,H,F,920114,37,4300000
813,H,F,830124,37,5650000
811,H,F,1040119,50,7600000
811,H,F,1040119,50,7820000
813,H,F,841211,40,5220000
830,H,F,891020,53,7500000
830,H,F,881206,35,4300000
830,H,F,840608,44,4150000
814,H,F,1031230,45,9000000
814,B,F,1040420,46,7100000
814,B,F,1040420,29,4850000
814,B,F,1040420,46,7100000
814,B,F,1040420,26,5070000
832,B,F,831128,27,1500000
813,H,F,921017,42,7100000
