Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,OFFeFG,OFFTOV,OFFORB,OFFFT/FGA,DFFeFG,DFFTOV,DFFDRB,DFFFT/FGA,Stats
27,35,47,36,46,-1.87,0.38,-1.49,102.7,104.6,98.7,0.304,0.044,0.516,0.472,14.6,30.5,0.225,0.494,15.9,66.3,0.221,Phaseout
26.5,34,48,36,46,-2.02,0.45,-1.57,106.6,108.6,99,0.378,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69,0.207,Phaseout
28,33,49,34,48,-2.67,0.52,-2.15,106,108.6,99.5,0.302,0.03,0.535,0.495,15.4,33.1,0.223,0.508,15.4,66.9,0.255,Phaseout
24,30,52,33,49,-3.1,-0.15,-3.25,104.2,107.2,101.8,0.296,0.018,0.533,0.497,15.5,29.9,0.213,0.504,16.5,66,0.287,Phaseout
24.4,28,54,29,53,-4.43,-0.06,-4.48,105.9,110.4,98.5,0.328,0.026,0.519,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266,Phaseout
24.8,25,57,27,55,-5.66,0.03,-5.63,106.2,111.7,103.9,0.306,0.013,0.538,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244,Phaseout
25.4,17,65,23,59,-7.39,0.34,-7.05,106.6,113.8,101.4,0.33,0.048,0.547,0.507,16.2,33.2,0.238,0.529,13.9,68,0.28,Phaseout
26.1,15,67,20,62,-8.51,0.74,-7.77,103.3,111.8,99.3,0.297,0.019,0.51,0.466,13.7,32,0.222,0.515,14.7,65.9,0.271,Phaseout
26.7,65,17,60,22,7.67,-0.14,7.53,108.3,100.9,102.7,0.367,0.015,0.549,0.501,16.3,37.1,0.273,0.464,15.8,66.2,0.217,LeagueChampion
27.3,56,26,55,27,5.35,-0.01,5.34,106.9,101.8,104,0.311,0.025,0.536,0.494,15.2,34.7,0.229,0.473,16,68.1,0.236,Promotion
26.9,58,24,55,27,5.55,-0.49,5.06,110.5,105.2,103.8,0.27,0.013,0.561,0.528,15.9,36.3,0.199,0.494,15.5,65.3,0.191,Promotion
26.6,53,29,54,28,5.06,-0.45,4.61,105.1,100.1,101.6,0.306,0.022,0.54,0.499,16,32,0.227,0.458,15.9,67.5,0.235,Promotion
28.1,51,31,53,29,4.4,-0.08,4.32,105.8,101.4,100,0.322,0.024,0.537,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228,Promotion
27.2,53,29,50,32,3.66,-0.56,3.1,110.1,106.6,103.3,0.336,0.042,0.556,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228,Promotion
27.4,48,34,49,33,3.21,-0.33,2.88,105.9,102.8,103.2,0.338,0.019,0.539,0.496,15.5,32.5,0.247,0.464,14.3,66.2,0.21,Promotion
25.2,49,33,49,33,2.77,0.01,2.77,101.6,98.9,104,0.322,0.021,0.532,0.494,18.7,36.8,0.227,0.481,18.9,68.8,0.251,Promotion
26.5,44,38,48,34,2.45,0.13,2.58,102.4,99.9,97,0.336,0.019,0.526,0.484,16.2,31.6,0.239,0.478,18.1,67.8,0.257,Promotion
25.5,46,36,47,35,2.13,-0.25,1.88,106,103.9,101,0.353,0.021,0.535,0.488,15.4,33.3,0.26,0.49,16,67.9,0.218,Promotion
24.5,45,37,45,37,1.45,-0.41,1.04,106.2,104.9,106.6,0.338,0.029,0.542,0.5,16.4,34.3,0.246,0.49,16.8,65.8,0.291,Phaseout
27.2,45,37,42,40,0.62,-0.36,0.27,109.7,109.1,112.1,0.337,0.016,0.55,0.495,14,31,0.272,0.509,15.1,64.8,0.22,Promotion
25.8,42,40,41,41,-0.13,0.33,0.2,99.1,99.3,99.4,0.292,0.034,0.511,0.473,16.6,30.4,0.206,0.471,16.2,68.6,0.214,Phaseout
24.6,37,45,40,42,-0.4,0.24,-0.17,105.4,105.8,105.8,0.34,0.036,0.529,0.481,15.1,33.6,0.253,0.496,15.4,66.2,0.214,Phaseout
24.2,38,44,40,42,-0.41,-0.29,-0.7,109.4,109.8,102.8,0.326,0.025,0.535,0.489,13.5,34.8,0.245,0.506,14,66.2,0.228,Phaseout
26.6,43,39,38,44,-0.95,0.23,-0.72,102.2,103.2,98.9,0.295,0.026,0.516,0.472,15,30.7,0.222,0.473,15.2,65.1,0.223,Promotion
24.7,30,52,32,50,-3.62,0.14,-3.48,103.9,107.4,104,0.293,0.02,0.526,0.485,15.9,33.9,0.216,0.513,16.9,64.6,0.241,Phaseout
25.7,30,52,30,52,-4.2,-0.03,-4.22,101.2,105.1,107.3,0.332,0.025,0.531,0.483,16.7,29,0.251,0.481,15.2,63.9,0.208,Phaseout
24.5,28,54,29,53,-4.89,0.48,-4.41,103.4,108,106.1,0.365,0.028,0.532,0.483,16.9,34,0.269,0.498,14.3,67.9,0.237,Phaseout
24.8,25,57,29,53,-4.83,0.22,-4.61,104.7,109.3,103,0.288,0.034,0.518,0.479,15.7,37.1,0.208,0.531,17.6,65.8,0.284,Phaseout
24.9,20,62,27,55,-5.85,0.49,-5.36,103.8,109.4,103.9,0.247,0.031,0.52,0.483,15.2,33.6,0.187,0.52,16.4,65.5,0.249,Phaseout
26.4,23,59,22,60,-7.44,0.66,-6.78,99.2,106.8,97.6,0.283,0.017,0.506,0.467,16.4,33,0.204,0.492,13.8,71.3,0.258,Phaseout
